qd2.sql;53;2;4;4;10;12;5;8;4;4
vf4.sql;511;17;22;19;64;21;20
vd7.sql;1206;15;56;54;19;18;28;48;18;51;13;5
dp4.sql;144;4;2;5;6;6;16;17;13
duc6.sql;5079;266;266;268;256;234;245;288
sd2.sql;163;215;184;164;177;152;166;182;148;186;151;161
qd3.sql;43;3;28;6;8;6;5;28
vd3.sql;24;5;6;12;5;5;6;12;3;2;6;3;20;8
dsv3.sql;1;0;1;0;1;1;0;0;0;1;1;0;1;1;1;0;1;1;1;1;1;0;1;0;1;1;1;0;1;0;0;1;1;0;1;1;1;1;1;0;1;1;0;1;1;1;1;0;0;1;1;1;1;1;0;0;0;1;0;1;1;1;0;1;0;0;1;0;0;0;1;0;0;0;1;1
dsv5.sql;214943;71677;73437;74096;74178;76292;75751;74562;73683;73487;72357;72729;72110;72825;72297;73273;73243;73134;73550;72703;73625;73662;73652;73004;72775;73702;73651;73572;73640;72945;72987;73509;73606;73608;73549;72797;73565;73317;73497;73412;73417;73381;74133;74135;73305;73572;74880;75087;75350;74355;75193;74967;75387;75921;77807;76903;77475;78906;78668;77962;78502;77698;77522;78715;79348;78885;79591;78869;78354;78624;79410;78619;78685;79266;90330;79507;80228;79504;79793;79029;79425;79237;79633;78883
dp1.sql;1;5;3;1;2;5;2;1
qd1.sql;3;2;3;10;1
sd3.sql;386;67;162;138;122;192;103;250;115
vf2b.sql;50611;895;851;866;1247;863;995;1101;973;1130;1131;1008;916;916;1123;1194
duc2.sql;3612;147;86;163;75;163;155;66;83;46;74;184;65;158;189
vf3b.sql;25;20;54;38;25;19;79;5;16;66;19;16
qd4.sql;302;2;7;2;6;2;2
duc7.sql;123;83;181;83;81;196;93;54
dsv5b.sql;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
dsv4.sql;1080;1634;878;885;961;1037;891;887;898;904;1122;1105;878;1489;893;946;1058;1007;1099;882;1031;877;1088;903;1525;884;946;891;1106;1122;948;1064;891;1124;877;1121;1104;880;1462;1069;1098;1080;875;868;956;931;977;870;856;949;1300;1428;1427;1115;857;862;874;1059;1052;872;1039;1007;855;810;1010;892;1076;1101;874;1026;935;846;1324;868;972;906;861;857;973;869;1003;1074
dsv6.sql;1937;125;398;225;188;354;200;227;202;229;198;195;203;209;411;388;300;222;208;266;429;213;413;206;217;275;211;211;207;398;124;204;256;201;203;194;395;126;288;306;119;270;124;199;320;301;194;265;256;264;184;164;165;261;168;123;267;162;258;123;123;152;217;251;134;187;157;119;150;150;236;116;150;119;202;154;235;311;231;148;125;147;143;229;116;212;153;144
vd5.sql;826;9;9;13;17;11;43;16;14;10
duc3.sql;323;157;196;55;124
dp2.sql;2;3;3;6;3;1;3;4;2;9;2;2;3
qd5.sql;11;3;9;6;3;8;1;3;3;2;4;2
vf2.sql;887;663;891;651;650;640
dv1.sql;33;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;2;1;1;0;0;1;0;1;1;0;1;0;1;1;0;0;1;1;2;0;1;0;1;1;1;1;0;1;1;0;1;1;0;0;1;1;1;1;1;1;0;1;0;0;1;1;1;1
dsv1.sql;70;6;9;5;4;7;4;6;7;5;5;6;5;6;7;5;5;5;8;8;4;7;8;6;7;6;6;4;7;4;5;7;5;5;4;4;8;5;7;7;5;6;4;4;4;4;5;6;6;5;7;6;7;5;4;12;7;5;3;5;4;7;5;5;4;4;8;7;4;6;7;5;5;4;6;4;3;4;8
vd1.sql;12;3;1;2;7;4;10;10;4;2
vf3.sql;1215;21;24;26;19;20;76
duc4.sql;128;158;95;156;161;121;173;152;140;147;182;143;236;192;146
dp3.sql;507;16;9;6;20;6;6;22;5;21;21;16;5;1
qd6.sql;46;6;32;9;12;9;38;7;4;21;38;36;6
duc1.sql;84;3;8;3;2;3
sd1.sql;162;162;158;173;186;182;152;156;187;157;153
vd6.sql;187;104;185;222;144;141;147;97;137
duc5.sql;457;151;133;130;170;186;269;182;162;253;202;209;170;135;269;176
dsv2.sql;1965;59;23;9;23;44;5;15;5;76;18;8;78;20;29;29;6;31;31;27;17;6;73;30;28;26;24;64;26;8;27;6;26;79;79;25;23;26;25;6;84;83;24;6;25;9;82;26;30;68;25;12;26;5;26;28;8;21;26;27;26;5;78;88;87;23;76;6;79;5;6;29;29;84;25;7;13;88;22;21;6;87;5;81;6;7;15;9;18;6;102;82;5;23;26;17;80;5;27;6;90;41
vd2.sql;20;24;12;31;6;2;28;3;10;11;11;12
