qd2.sql;21;147;21
vf4.sql;19;28;11;19;5;5;11;7;638;636;74;24;377;166;14;5;8;24;674;8;23;181;9;9;540;675;664;1;726;21;7;437;24;721;731;4;433;23;3;8;570;18;6;21;715;711;712;22;496;498;3;175;708;703;5;268;10;24;16;890;21;7;831;18;733;465;4;6;26;7;5;84184;38;5;19;20;744;6;21;749;3;23;743;176;57;924;82861;954;746;6;23;23;7;5;17;7;23;730;24;253;20;20;710;24;24;515;463;1;5;2;494;2;686;4;74;461;451;4;450;23;23;181;9;20;6;22;7;21;24;6;20;679;4;449;18;7;7;687;5;501;6;6;6;162
vd7.sql;7;6;23;21;28;24
dp4.sql;77;8;739;833;0;1;2;23;717;181;7
sd2.sql;24;827;2;6;443
duc6.sql;581;23;21;21;22;6;6;280;21
qd3.sql;393;740;2;6
vd3.sql;8;22;443
dsv3.sql;719;22;21;11;874;22;21;6;4;748
dsv5.sql;84;719;24;52;9;483;163;507
dp1.sql;7;1;749;3;464;9;704;158
qd1.sql;23;5;24;705;23
vf2b.sql;679;685;22;20;19;702;659;26;24;677;25;26;25;93289;70;25;667;26;24;727;24;17;443;21;2;7;428;442;24;439;23;10;24;7;171;5;445;3;429;25;766;14;23;7;22;418;18;473;24;22;1;468;4;1;731;3;22;22;10;119;730;739;6;466;29;23;23;4;5;493;482;483;796;743;748;2;23;7;4;21;741;744;739;1;21;4;740;486;748;730;477;73;746;5;83648;20;485;181;24;5;744;21;488;82766;739;8;15;71;486;25;729;728;738;16;5;172;734;168;6;2;20;468;0;5;3;22;452;8;703;765;703;1;707;18;14;20;3;447;21;24;6;21;20;6;22;169;9;6;20;449;7;2;75;22;3;5;858;686;22;23;439;2;24;5;82132;1;21;496;507;20
sd3.sql;7;7;706;22
duc2.sql;37;7;479;7;22
vf3b.sql;4;121;6;635;7;7;376;378;669;659;63;9;384;24;437;6;506;10;874;6;432;22;177;7;724;435;720;0;175;422;716;3;7;7;22;4;23;8;24;85915;5;5;477;749;72;6;3;8;10;23;24;6;6;156;545;7;10;10;7;283;2;20;730;63;22;6;24;7;8;20;173;5;174;836;21;5;20;744;887;478;7;487;262;117;21;18;276;731;204;6;640;204;22;475;264;19;176;462;714;7;6;6;4;6;21;23;5;4;454;693;696;691;6;7;1;547;1;785;7;5;445;23;10;456;23;675;24;16;446;7;721;0;556;23;745;501;22;24
duc7.sql;133;382;5;22;22
qd4.sql;714;24;20;824;22;696;11
dsv5b.sql;7;7;21;23
dsv4.sql;710;759;8;505
duc3.sql;6;508;15;881;713;4;6;18;1
vd5.sql;11;427;709;23;22;7;493;810;453;21;18
dsv6.sql;145;21;1
dp2.sql;802;158;10;21;7;451;701;20;681
qd5.sql;18;11;24;2
vf2.sql;875;22;25;27;24;15;673;25;681;384;6;24;25;672;91455;22;444;732;21;3;26;726;2;25;8;25;729;437;0;22;25;2;23;2;23;22;23;27;23;5;24;10;28;966;7;172;75;5;479;22;746;2;24;25;19;459;29;459;816;849;6;22;21;747;486;20;5;746;3;20;733;741;23;482;1;7;746;20;21;480;747;1027;268;22;492;14;16;7;21;711;474;149;17;9;21;465;482;157;17;132;4;701;22;539;15;149;25;2;25;697;448;455;23;5;7;710;695;281;4;7;688;686;448;688;20;684;24;20;172;2;20;2;6;6;24;17;18;6;508;738;2
dv1.sql;24;740;719;21;20
dsv1.sql;503;8;0;24;734;23;18
vd1.sql;734;711;10;8;6;779;741;8;692
vf3.sql;23;23;22;340;519;21;3;728;6;25;465;9;12;6;10;22;187;411;438;187;5;21;10;22;7;438;23;444;27;23;11;222;12;3;6;442;425;712;21;427;4;492;24;1;21;749;24;5;748;34;7;22;739;742;22;5;22;7;22;464;22;459;22;7;542;825;563;193;19;24;5;727;488;22;10;22;7;483;568;3;22;20;7;735;743;748;741;23;735;840;483;6;812;4;478;9;7;8;463;24;704;776;7;22;7;130;709;1;9;153;706;6;878;23;457;19;7;452;701;20;5;21;694;21;2;2;19;23;19;6;21;22;5;23;3;54;909;2;229;23;450;6;693;19;449;438;7;15;7;23;21;21;0;8;754;751;748;19;19;504;2
duc4.sql;24;469;8;140;21;7;21;23
dp3.sql;6;385;9;1;852
qd6.sql;482;480;161;691;21
duc1.sql;20;712;8;282;158;8;494;4;5
sd1.sql;8;15;755;24;492;15;472;786
vd6.sql;9;8;132;274;479;614;703
duc5.sql;21;459;868;726;1;540;469
dsv2.sql;738;25;167;24;487;22;24;562
vd2.sql;209;460
