qd2.sql;5;1;1;4;162;197;66;1;2;1;5;58;13;696;874;13;7;12;0;1;2;3;8;8
vf4.sql;1;3;2;2;8;9;1;843;84440;393;6;100;123;106;89;154;55;1;2;2;2;1;0;3
vd7.sql;51300;821;16;5;16;1;2;1;2;6;11;1;836;84196;341;5;129;101;106;135;159;55;1;1
dp4.sql;241;9;9;1;845;85234;410;3;70;107;105;92;162;86;0;1;1;2;1;1;5;147;154;58;1
duc6.sql;130;0;2;3;4;1;1;4;156;153;66;1;2;1;3;58;11;666;872;12;5;12;1;1
sd2.sql;77;1;2;1;4;58;12;642;846;14;6;13;1;1;2;2;6;9;1;870;82288;314;8;136
qd3.sql;7;1;7;152;152;61;1;2;1;5;65;12;696;885;13;4;14;0;1;1;3;6;10;1
vd3.sql;8;55;15;641;843;15;5;13;1;1;2;2;7;12;1;859;82919;332;5;147;110;99;88;156
dsv3.sql;8;854;83254;398;3;69;101;105;98;162;52;1;2;3;3;0;1;3;155;153;84;0;1;1;3
dsv5.sql;171703;341;3;74;107;101;92;156;58;1;1;1;3;4;0;3;149;146;65;1;3;1;2;52;10
dp1.sql;981;1;2;3;5;12;0;809;84757;404;6;94;101;146;92;156;56;0;1;1;4;1;1;3;156
qd1.sql;3;3;1;1;7;205;147;59;1;2;1;4;59;15;673;866;14;5;12;1;1;2;2;5
sd3.sql;2;4;2;5;59;14;645;841;14;5;15;1;2;2;2;5;11;1;842;82641;432;7;134;108
vf2b.sql;63;5;13;1;2;2;3;4;10;1;896;83971;375;6;121;98;105;93;192;76;0;1;1;2
duc2.sql;855;99;89;157;59;0;1;2;3;0;1;3;149;264;65;1;2;1;3;59;14;678;883;11;5
vf3b.sql;320;1;1;1;3;5;11;0;825;84204;384;7;114;102;98;89;156;57;0;2;1;2;1;1
duc7.sql;2;1;2;3;1;1;7;169;147;64;1;2;2;4;57;9;664;871;13;4;11;0;1;1
qd4.sql;39;4;164;152;60;1;2;1;7;59;12;649;858;14;5;14;1;4;2;2;6;9;0;846
dsv5b.sql;400;4;68;107;106;92;160;58;0;1;2;3;1;1;4;147;154;66;0;1;1;3;59;9;684
dsv4.sql;2810;79309;371;4;72;102;101;94;157;58;1;1;1;4;1;2;3;155;145;65;1;2;1;3;52
dsv6.sql;434;69;103;108;98;161;60;0;2;2;3;1;1;6;150;146;65;0;2;1;5;58;9;686;896
duc3.sql;329;95;154;52;1;2;2;3;1;1;4;151;154;82;1;2;1;3;58;10;702;885;12;5;12
vd5.sql;91;11;717;835;16;5;15;1;1;3;2;5;10;0;814;82913;329;5;129;135;100;88;154;53
dp2.sql;157;2;2;5;9;1;809;84896;417;3;89;106;106;170;157;51;1;1;2;3;0;1;3;153;145
qd5.sql;175;155;197;58;0;2;2;5;58;13;651;856;13;5;14;1;2;2;3;4;10;0;858;81881
vf2.sql;802;16;6;13;1;1;2;2;12;9;1;852;83679;360;5;124;101;104;91;218;56;0;1;2
dv1.sql;19;2;3;0;1;7;160;146;63;0;2;1;3;61;9;662;872;13;5;14;0;2;1;2
dsv1.sql;83;12;0;844;85319;418;3;72;107;100;98;159;57;2;1;2;3;1;1;4;200;153;59;1;2
vd1.sql;13;2;5;50;12;655;842;15;6;14;1;1;2;2;6;9;1;837;82681;448;8;134;108;101
vf3.sql;8;13;0;1;2;2;6;9;0;837;84030;378;7;107;104;99;91;155;52;0;1;2;3;1
duc4.sql;143;158;58;0;1;2;3;1;0;3;157;146;66;1;1;1;4;51;10;673;891;12;5;11
dp3.sql;402;3;6;10;1;861;85374;423;3;85;103;100;91;268;59;0;1;2;2;0;2;3;153;154;58
qd6.sql;191;145;85;1;2;2;4;58;13;651;853;13;6;14;1;1;1;3;7;8;0;861;82177;305
duc1.sql;11957;101;106;100;156;76;1;2;1;3;1;1;5;239;153;63;1;2;1;2;73;8;678;888;12
sd1.sql;148;64;1;2;2;5;66;12;647;848;14;5;12;1;2;1;3;6;9;1;845;82286;315;7
vd6.sql;336;586;844;17;5;13;1;2;1;3;6;9;0;995;83141;334;5;132;107;139;90;159;57;0
duc5.sql;5181;59;1;2;2;4;1;2;4;152;153;59;0;2;1;3;67;10;670;877;12;5;13;1
dsv2.sql;2044;0;827;84492;413;3;67;101;100;92;162;53;0;2;1;3;1;1;3;156;197;64;1;2;1
vd2.sql;19;7;75;12;650;874;16;5;14;2;1;2;3;6;9;1;1125;82782;325;7;124;110;99;96
