qd2.sql;3;5;6;13;3;3;3;2;4;3;3;5;3;2;10
vf4.sql;358;53;64;36;12;10;29;22;70;61;57;5;5;19;19;21;73;16;21
vd7.sql;524;19;11;5;48;51;29;17;53;25;14
dp4.sql;1582;5;5;8;5;8;13;3;6;3;16;5;14;4;3;16;5;4
duc6.sql;11207;121;365;379;369;250;431;245;250;238;318;217;249
sd2.sql;161;191;170;176;166;165;156;165;155;162;159;194;158
qd3.sql;9;22;9;13;9;6;16;8;9;3;19;18;5;8;3;28;7;25;9;6
vd3.sql;207;4;2;6;3;2;5;14;10;6;2;12;1;17;15
dsv3.sql;0;1;1;0;1;0;1;1;1;0;1;1;1;1;1;0;1;1;0;0;1;1;0;0;0;0;1;1;0;1;0;1;0;0;1;0;1;1;1;0;1;0;0;1;0;1;1;1;1;1;0;0;0;1;0;0
dsv5.sql;178192;72107;71709;72642;72510;73188;73071;73759;74102;74138;74185;74503;74166;73861;74840;74647;74623;74680;74173;74552;75005;75021;75538;75425;75891;75960;76065;76909;77102;76851;77269;77501;76292;77803;76957;77672;77121;77655;77740;77964;77681;77971;77961;78474;77238;77312;77588;78056;78761;77518;77367;78929;79787;78990;80098;79419;78521;79689;79784;78634;78666;78725
dp1.sql;1;2;2;1;1;5;0;1;1;2;2;0;1;1;1;1
qd1.sql;69;5;6;1;1;3;2;2;10;1;5;2;3;1;9;1
vf2b.sql;95631;675;903;1151;992;1126;1141;905;910;1027;1094;1206
sd3.sql;127;168;120;176;195;81;177;113;111;191;81;110;193;76
duc2.sql;200;111;162;124;88;93;151;169;165;37;51;135;82;74;99;186
vf3b.sql;66;8;18;38;36;8;23;23;68;22;45;8;8;21;25;25
duc7.sql;308;100;52;88;84;75;77;80;74;69;50;58;170;86;82;175;77;71;56;74;79
qd4.sql;33;2;2;2;2;2;2;6;3;3;2;2;0;3
dsv5b.sql;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
dsv4.sql;1758;995;1058;932;918;891;1107;1093;941;869;877;1096;1053;877;906;950;926;863;930;1037;859;943;1090;1035;1088;832;890;870;837;846;1082;1114;1236;1061;862;1034;1083;810;817;840;921;856;1055;905;872;1103;889;1248;1156;864;867;1154;865
vd5.sql;195;16;7;16;7;30;7;9;6;8;15;38;27;15;12;7
dsv6.sql;258;395;326;450;417;203;370;242;365;380;351;123;243;190;396;126;338;186;192;189;186;125;317;120;141;266;229;170;177;248;121;304;171;256;164;208;167;224;197;121;157;164;264;157;159;220;120;119;145;153;290;249;127;162;118;279;145
duc3.sql;327;69;159;148;153;250
dp2.sql;1;1;3;1;1;3;6;1;9;8;1;1;2;1;1;1;1;1;2;2;1;1;1;0;1;2
qd5.sql;22;1;7;1;2;1;1;2;4;2;1;3;2;3;2;2;2;5;5;3
vf2.sql;663;678;692;655;655;791;637;712;717;885;622;624;647;752;634
dv1.sql;11;1;1;1;1;1;0;1;0;0;1;1;1;2;1;1;0;0;1;0;1;1;1;1;1;1;1;1;1;0;0;1;0;0;0;1;0;1;1;1;1;1;1;0;1;0;0;0;1;0;0;1;1;1;1;1;0;1;1;0;1;1;0;1;0;1;0;0
dsv1.sql;78;6;5;4;6;5;9;5;6;7;4;10;6;5;4;7;5;5;7;6;5;7;4;4;5;4;4;4;5;6;4;8;7;4;5;10;5;4;4;5;7;8;3;6;4;5;4;4;7;4;4;5;4;4;4;4;5;7;5;4;6;5;5;5
vd1.sql;37;3;1;2;11;1;8;9;3;3;7;3;2;1;2
vf3.sql;47;19;71;20;9;51;7;22;57;22;7;26;61;80;25
duc4.sql;216;149;214;156;158;158;149;128;225;121;149;106;163;163;147;120;154;131;127;148
dp3.sql;19;6;6;19;6;7;2;6;6;2;20;2;6;2;4;15;4;5;22;2
qd6.sql;39;28;6;21;26;12;12;28;5;9;8;8;4;38;6;12;10
duc1.sql;77;3;8;3;3;10;3;7;3;3;4;3;7;2;9;3;7;3;3;1
sd1.sql;562;171;187;150;177;156;160;185;200
vd6.sql;143;128;222;222;179;134;198;190;105;130;157;134;127;119;70;195;168;131
duc5.sql;271;182;267;111;158;128;266;175
dsv2.sql;205;11;5;19;15;25;60;9;8;26;83;27;31;4;79;21;22;17;9;6;25;26;6;6;7;4;3;25;12;80;5;71;6;12;81;20;95;20;25;21;22;6;11;6;56;47;26;8;23;16;83;16;17;23
vd2.sql;24;27;25;27;3;6;4;8;6;8;4;10;10;11;5;4;7
