query_name;avg_time;max_time;min_time;total_no
duc7.sparql;737;1300;638;10
duc6.sparql;125;194;90;9
vd7.sparql;947;1145;853;19
vf2b.sparql;2501;4574;2112;113
vd6.sparql;33;96;19;13
vf3b.sparql;1787;3143;1532;129
dsv5b.sparql;6297;7579;5510;7
sd1.sparql;25;159;7;9
dv1.sparql;7;22;4;9
duc1.sparql;16;101;5;9
vd2.sparql;792;1085;632;15
vd1.sparql;13;50;7;12
vd5.sparql;709;974;596;10
vd3.sparql;50;101;29;4
vf2.sparql;4508;7126;3827;135
vf3.sparql;4262;12628;3833;104
duc4.sparql;204;320;171;9
duc3.sparql;38;131;21;16
duc5.sparql;666;1221;543;12
duc2.sparql;736;1249;607;11
vf4.sparql;1925;4303;1794;132
sd3.sparql;22;80;8;7
sd2.sparql;20;88;9;10
dp3.sparql;30;143;8;9
dsv2.sparql;58;410;12;11
qd4.sparql;956;1023;911;11
dsv1.sparql;20;191;4;12
qd3.sparql;814;1082;662;14
dsv4.sparql;3038;4874;2623;14
dsv3.sparql;11;49;4;7
qd1.sparql;28;52;20;12
qd5.sparql;452;649;378;16
qd2.sparql;445;473;421;7
qd6.sparql;1018;1033;1012;12
dsv5.sparql;4017;5407;3410;9
dsv6.sparql;686;955;516;13
dp1.sparql;11;63;4;10
dp4.sparql;498;1951;13;4
dp2.sparql;10;21;8;10
