query_name;avg_time;max_time;min_time;total_no
duc7.sparql;664;1118;526;117
duc6.sparql;123;468;89;95
vd7.sparql;936;1171;850;10
vf2b.sparql;3549;6227;2211;5
vd6.sparql;63;168;38;7
dsv5b.sparql;6634;8945;5539;10
vf3b.sparql;1916;2393;1592;8
dv1.sparql;6;27;4;13
sd1.sparql;13;21;8;7
duc1.sparql;8;141;4;86
vd3.sparql;61;203;29;12
vd2.sparql;794;1003;638;10
vd5.sparql;698;1057;607;10
vd1.sparql;12;37;8;11
vf2.sparql;4565;6050;3760;14
vf3.sparql;4380;6090;4022;8
duc3.sparql;51;1990;20;103
duc2.sparql;612;1304;493;109
duc5.sparql;603;1829;483;78
duc4.sparql;191;321;150;93
vf4.sparql;1990;2626;1827;9
sd3.sparql;15;68;9;12
sd2.sparql;23;87;8;6
dp3.sparql;16;50;8;12
qd4.sparql;1028;1448;906;8
dsv1.sparql;15;67;3;7
qd3.sparql;773;1021;642;12
dsv2.sparql;25;107;9;10
dsv4.sparql;3459;8659;2590;10
dsv3.sparql;8;45;3;10
qd1.sparql;26;33;23;3
qd2.sparql;553;953;433;6
qd5.sparql;515;643;404;5
qd6.sparql;1030;1079;1015;5
dsv5.sparql;3864;5472;3314;7
dsv6.sparql;545;761;488;8
dp1.sparql;6;26;4;13
dp2.sparql;28;183;8;12
dp4.sparql;23;71;12;14
