duc7.sparql;658;636;640;643;788;641;
duc6.sparql;218;115;123;96;162;113;107;105;98;90;146;104;
vd7.sparql;1071;887;897;891;889;1031;
vf2b.sparql;6271;2566;3766;2436;3750;2182;2332;2557;3328;2661;2570;3699;2450;2410;2414;2704;2720;2537;2460;2314;2269;3829;2289;2441;3329;2584;3760;2536;2595;2514;2433;3099;2309;2472;2621;2460;2927;3329;2661;2295;2426;2424;3849;3561;2445;2264;3712;2242;2204;2378;2209;3022;2391;3398;2370;2192;2362;2247;3022;2308;2745;2345;2434;2403;2392;3763;2386;3634;2441;2481;2298;2303;2221;2538;3633;3631;2508;2383;2227;2216;2236;2360;2510;2215;3009;2599;3239;4071;2214;2228;2391;3426;2469;2395;2299;3155;2225;2353;2258;2370;2244;2229;2348;3281;2361;2657;2373;2386;2478;2390;2324;3078;2399;2214;2544;3151;2824;3805;2410;2534;2443;3525;2252;2408;2312;2537;2395;4017;2341;2264;
vd6.sparql;2191;39;57;44;43;36;41;49;34;47;
vf3b.sparql;11136;1610;2143;1616;2251;2471;1601;2015;2094;1768;1613;2101;1946;1610;1924;1977;1605;2300;1721;2235;1722;1993;1714;1588;1899;1902;2220;1625;1601;1941;1590;1616;1590;1919;1892;1693;1915;2091;1605;1620;2146;2081;1647;1938;2308;1600;1576;1554;1920;1566;2077;1635;1767;1974;1657;2541;1602;1655;1599;2083;2098;2418;1942;1581;1602;1682;1583;1899;1668;1948;1626;1587;1977;2089;1607;1588;1565;2392;1587;2096;1624;1872;1590;1567;2082;1624;1987;1565;1928;2087;1580;1642;2098;2268;1748;1579;1562;2021;1717;1588;1782;1562;1594;1554;1926;1592;1567;1954;1942;1912;1583;1602;2084;2087;2081;1625;1571;1804;1582;1595;1927;1947;1561;1566;1583;1561;2101;1591;2533;1634;2009;2080;1583;1599;2310;1570;1600;2466;1701;1568;1896;1578;1844;
dsv5b.sparql;5790;5957;5867;6968;6091;
sd1.sparql;16;13;9;7;8;8;9;8;8;7;7;
dv1.sparql;51;6;6;5;4;4;5;
duc1.sparql;75;7;7;7;6;5;
vd1.sparql;381;43;10;9;9;15;14;8;10;8;7;7;
vd5.sparql;783;647;623;624;667;1023;636;1015;982;620;646;664;
vd2.sparql;712;658;650;664;731;653;753;694;
vd3.sparql;91;28;29;41;29;34;39;
vf2.sparql;4146;3992;4065;4399;3991;5833;4262;4314;4249;7296;4305;4147;4211;4301;4332;4029;5635;4883;4220;5099;4360;5802;3875;6283;4212;4058;5768;4048;4234;7118;4315;4594;5722;4197;4204;4219;4210;4033;4057;4642;6064;4060;7330;4376;4171;4041;6129;4194;4110;5319;3968;4223;5798;4180;4579;5223;4164;4998;4025;5967;6365;5427;5790;4192;4167;4019;3947;4209;3972;5784;4012;4182;4110;5758;4163;4111;6059;6022;4055;4023;6435;4609;4281;4135;4066;4129;5531;4179;4069;5304;5296;4283;5377;4352;4092;4183;4192;6573;4089;4215;4032;3929;5913;4408;4185;5557;4061;5520;4040;4032;5554;4023;4192;4035;5364;4250;4206;6085;4434;4202;4232;5971;4060;4056;4225;5427;4346;4087;5644;5818;5661;4050;4226;5077;4040;
vf3.sparql;6881;3644;3620;3592;5315;3634;3951;5286;5753;5595;3755;4820;3733;3752;3749;3766;3774;3927;3769;3792;3831;5604;3779;3922;5601;3794;3781;3903;4445;3949;3806;3936;3916;4459;3854;3776;3785;3794;3785;3785;4203;3781;3871;4280;3813;3802;3810;3795;3793;3961;3810;3785;3806;3811;3913;3779;6415;3792;3798;3787;5555;3798;4701;3769;3809;3788;3776;3774;4498;3792;3806;3797;3801;3813;4819;3783;4236;3798;3779;5594;3929;4705;4628;3772;3826;3903;3816;3777;3819;3791;3803;4262;3786;4881;3786;3791;3786;5270;3793;3795;3920;4555;4485;3790;4170;3779;3799;4171;3786;4407;3777;3788;3780;3798;3770;5132;3967;3782;3893;3788;4180;3792;3784;3802;3789;5606;3926;4182;3782;5617;3803;3880;3776;
duc3.sparql;66;29;
duc4.sparql;388;208;188;174;214;179;
duc2.sparql;950;623;614;606;608;
duc5.sparql;1176;544;540;
vf4.sparql;3785;1898;1906;2100;2222;2265;2001;1987;2267;1837;1984;2226;1837;1831;1835;1819;1824;1895;1840;1840;1884;1986;2195;1964;2195;1887;1832;1812;1813;1814;2253;1966;1835;1847;1894;1826;1829;1828;2195;1837;2196;2252;2220;1820;1853;1897;1832;2196;1833;1838;1975;2256;1824;1957;2196;1816;1965;2063;1817;1813;1841;1812;1881;1813;1947;1851;1963;1968;1866;1840;1894;1842;2080;1822;2189;1855;1841;1820;1945;1824;1819;1817;1964;1841;1839;1902;1836;1831;1825;1922;1882;1834;1837;1836;1818;1829;1839;1842;1820;1907;1826;2192;1817;2195;2198;1811;1830;1832;1837;1856;1846;1952;1950;1844;1941;1818;1835;1940;1820;2191;1851;1886;1950;1809;1834;2317;1840;1853;1835;2194;2132;1976;1863;1887;1853;2308;2075;1847;1841;2192;1933;2192;1837;1880;
sd3.sparql;102;22;13;14;12;11;
sd2.sparql;1962;20;10;12;9;13;10;9;8;
dp3.sparql;164;15;10;15;14;12;11;9;9;10;12;9;8;
qd3.sparql;1054;675;684;680;826;648;658;687;688;
qd4.sparql;960;913;972;928;918;922;
dsv2.sparql;242;51;41;
dsv1.sparql;27;73;
dsv4.sparql;3300;2817;2799;2779;2658;3739;2862;2843;
dsv3.sparql;72;5;8;5;5;6;5;4;5;
qd1.sparql;140;29;35;23;24;21;25;22;21;23;20;30;21;21;26;
qd6.sparql;1045;1022;1014;1015;1015;1024;1015;1013;1014;1013;1012;
qd2.sparql;537;433;438;461;426;773;
qd5.sparql;421;387;473;511;402;405;675;
dsv5.sparql;5782;3496;3653;5299;4338;3376;3611;
dsv6.sparql;601;683;489;507;559;508;534;546;
dp1.sparql;6;5;5;14;4;
dp2.sparql;113;11;12;18;15;9;8;
dp4.sparql;51;11;
