duc7.sparql;1294;808;707;682;664;
duc6.sparql;118;89;139;
vd7.sparql;1217;860;944;950;851;857;856;844;970;888;1023;899;1024;1020;877;1020;871;850;886;866;861;1018;1016;850;854;892;865;884;907;868;868;883;1019;869;1014;875;883;863;1017;854;855;877;832;1018;1015;873;874;893;1015;849;848;867;868;869;1015;866;859;
vf2b.sparql;4030;
vd6.sparql;281;45;39;26;42;30;27;30;46;44;26;26;20;20;26;25;26;81;19;20;28;23;25;28;27;28;24;27;20;33;20;46;19;24;18;51;18;19;18;21;20;18;29;23;18;
dsv5b.sparql;12114;7261;5829;5930;7179;
vf3b.sparql;2752;2404;2113;1750;
sd1.sparql;32;26;13;19;16;17;9;16;12;11;12;12;14;11;22;13;8;15;7;8;13;11;12;11;8;8;8;8;10;7;8;7;7;42;8;
dv1.sparql;69;9;6;6;
duc1.sparql;70;11;
vd5.sparql;1181;662;921;593;586;940;587;686;659;595;592;944;589;584;589;602;928;809;598;598;662;611;703;606;941;573;587;602;578;590;580;577;747;665;579;589;588;600;930;833;
vd3.sparql;126;61;35;31;40;34;42;29;33;28;42;42;27;41;38;36;34;30;33;40;40;31;40;37;28;49;40;34;28;41;35;28;28;36;48;27;36;31;43;27;29;28;30;34;33;44;31;29;
vd2.sparql;1259;1003;665;652;639;981;910;697;648;651;909;649;664;649;985;1003;664;632;646;645;743;993;649;640;628;635;645;628;639;633;683;646;889;746;642;649;1012;638;637;632;635;681;659;699;988;636;649;634;637;648;658;636;
vd1.sparql;141;42;17;13;11;16;19;11;16;12;13;8;11;8;10;9;10;9;11;10;11;7;7;14;7;10;13;9;9;8;6;9;12;7;10;7;8;9;10;8;10;9;7;
vf2.sparql;4133;6025;4185;4240;
vf3.sparql;4044;4008;6078;4124;
duc5.sparql;1060;604;616;
duc4.sparql;402;191;197;
duc3.sparql;66;
duc2.sparql;664;
sd3.sparql;68;15;16;13;15;15;22;11;15;14;12;15;15;10;11;11;13;9;10;13;9;11;9;9;14;15;20;17;12;8;8;12;11;11;10;10;11;7;10;8;8;9;10;11;8;10;7;8;
vf4.sparql;2827;1830;1844;1889;1834;
sd2.sparql;177;52;58;19;18;18;14;14;10;13;14;18;13;11;15;12;9;12;13;8;8;9;11;8;9;8;7;8;13;7;13;12;13;8;8;8;8;8;11;8;11;8;7;11;8;
dp3.sparql;1897;26;43;37;19;15;18;18;25;22;18;16;19;23;15;13;10;18;13;14;35;12;9;12;9;11;9;14;12;8;12;8;10;10;12;10;13;8;8;12;12;9;9;8;8;8;
qd3.sparql;1237;1035;1027;754;685;719;1019;766;1033;695;671;690;685;693;666;672;1014;670;1015;653;660;666;700;1016;663;669;668;685;666;661;693;704;686;667;678;758;678;662;668;792;1014;697;664;664;677;772;704;705;681;682;665;698;668;680;679;666;664;691;683;691;662;688;691;689;
qd4.sparql;1126;1037;1031;960;898;942;899;1018;1023;904;949;901;899;1014;944;939;1017;907;895;909;929;905;907;1017;916;902;930;1016;894;907;930;940;894;911;926;918;913;936;910;889;971;906;914;909;920;
dsv1.sparql;74;10;5;
dsv2.sparql;122;24;8;33;
dsv4.sparql;3592;4116;
dsv3.sparql;40;5;23;3;3;
qd1.sparql;57;42;50;38;34;49;32;31;23;25;32;24;35;23;22;27;33;35;29;29;22;20;24;35;22;20;25;26;19;20;21;28;19;21;20;20;20;
qd2.sparql;1320;506;527;663;479;685;467;443;583;431;672;435;418;433;699;438;431;457;442;430;436;433;455;674;451;428;410;431;426;411;430;444;434;437;430;453;585;437;
qd6.sparql;1399;1406;1042;1021;1026;1040;1015;1016;1020;1026;1018;1019;1027;1018;1014;1013;1014;1015;1013;1014;1017;1014;1017;1018;1013;1015;1014;1014;1025;1014;1013;1018;1012;1021;1013;1015;1013;1013;1015;1047;1025;1012;1013;1018;1014;1014;
qd5.sparql;558;482;534;609;415;384;410;656;406;620;382;625;637;607;406;392;398;405;468;402;391;380;379;445;395;396;398;389;377;412;401;392;407;610;535;494;382;400;381;395;398;393;390;401;394;418;380;404;412;619;374;393;404;
dsv5.sparql;3586;3620;3850;3727;3772;
dsv6.sparql;641;
dp1.sparql;243;15;8;16;10;8;7;7;10;4;5;5;7;4;5;4;4;6;5;4;5;6;4;4;4;3;4;3;5;5;4;6;3;5;3;4;15;3;
dp2.sparql;75;25;15;14;16;13;11;9;11;12;12;10;9;10;8;10;13;8;9;11;11;7;13;8;8;11;12;8;21;8;10;7;8;9;10;7;9;10;10;7;7;7;9;8;9;7;
dp4.sparql;92;18;15;18;18;18;12;17;18;20;15;18;15;13;14;14;15;14;14;16;12;14;16;13;10;14;12;15;15;16;10;14;11;14;12;16;12;13;14;10;10;12;9;14;14;
