query_name;avg_time;max_time;min_time;total_no
duc7.sparql;605;644;578;3
duc6.sparql;187;268;134;5
vd7.sparql;938;1025;849;8
vf2b.sparql;2990;3683;2575;6
vd6.sparql;79;127;52;6
dsv5b.sparql;6312;9576;5338;99
vf3b.sparql;2001;2130;1863;3
dv1.sparql;7;58;3;89
sd1.sparql;14;24;7;9
duc1.sparql;18;91;6;8
vd2.sparql;912;1279;650;8
vd5.sparql;819;1133;650;8
vd1.sparql;20;50;11;7
vd3.sparql;65;107;37;3
vf2.sparql;5119;6957;4200;6
vf3.sparql;4310;4551;3977;6
duc4.sparql;308;422;168;4
duc2.sparql;582;636;551;7
duc3.sparql;36;65;22;5
duc5.sparql;732;1181;508;6
sd3.sparql;33;132;12;8
vf4.sparql;1980;2387;1840;6
sd2.sparql;40;123;9;5
dp3.sparql;21;39;15;4
qd4.sparql;1060;1609;923;9
dsv2.sparql;26;542;7;102
dsv1.sparql;9;202;3;92
qd3.sparql;810;1013;682;3
dsv4.sparql;3272;17783;2517;92
dsv3.sparql;7;75;3;105
qd1.sparql;185;1216;22;8
qd2.sparql;670;747;574;3
qd6.sparql;1032;1078;1019;7
qd5.sparql;592;824;422;6
dsv5.sparql;3814;11886;3062;105
dsv6.sparql;628;1758;474;107
dp1.sparql;11;48;3;11
dp2.sparql;22;24;20;2
dp4.sparql;26;53;15;4
