query_name;avg_time;max_time;min_time;total_no
duc7.sparql;671;1177;579;8
duc6.sparql;148;272;104;8
vd7.sparql;985;1094;863;12
vf2b.sparql;2846;5005;2200;16
vd6.sparql;48;127;24;9
dsv5b.sparql;6295;10838;5188;73
vf3b.sparql;2072;3002;1591;12
dv1.sparql;8;160;3;72
sd1.sparql;20;101;7;11
duc1.sparql;21;87;6;6
vd5.sparql;773;1133;604;10
vd1.sparql;18;58;8;10
vd3.sparql;43;106;29;14
vd2.sparql;745;1019;632;12
vf2.sparql;4336;4588;4058;6
vf3.sparql;5178;10700;3863;7
duc2.sparql;736;1139;547;15
duc5.sparql;664;1767;508;16
duc4.sparql;232;447;164;15
duc3.sparql;46;115;19;5
vf4.sparql;2200;3215;1843;7
sd3.sparql;26;77;11;9
sd2.sparql;19;60;9;12
dp3.sparql;31;205;9;14
qd4.sparql;1060;1584;912;7
dsv2.sparql;19;405;7;102
dsv1.sparql;7;67;3;79
qd3.sparql;816;1016;684;8
dsv3.sparql;7;67;3;76
dsv4.sparql;3063;5728;2556;82
qd1.sparql;39;55;31;5
qd2.sparql;600;798;463;10
qd5.sparql;551;1003;371;12
qd6.sparql;1020;1039;1015;13
dsv5.sparql;3388;4888;3038;84
dsv6.sparql;609;4113;443;88
dp1.sparql;8;23;3;8
dp4.sparql;26;70;15;9
dp2.sparql;13;25;8;13
