query_name;avg_time;max_time;min_time;total_no
duc7.sparql;803;1294;664;6
duc6.sparql;108;139;88;4
vd7.sparql;911;1217;832;58
vf2b.sparql;3125;4030;2221;2
vd6.sparql;33;281;18;46
dsv5b.sparql;7367;12114;5829;6
vf3b.sparql;2139;2752;1677;5
sd1.sparql;13;42;7;36
dv1.sparql;18;69;4;5
duc1.sparql;29;70;7;3
vd5.sparql;685;1181;573;41
vd3.sparql;37;126;27;49
vd2.sparql;723;1259;628;53
vd1.sparql;13;141;6;44
vf2.sparql;4802;6025;4133;5
vf3.sparql;4445;6078;3971;5
duc5.sparql;722;1060;604;4
duc4.sparql;241;402;177;4
duc3.sparql;42;66;19;2
duc2.sparql;649;664;635;2
sd3.sparql;12;68;7;49
vf4.sparql;2019;2827;1830;6
sd2.sparql;16;177;7;46
dp3.sparql;54;1897;8;47
qd3.sparql;736;1237;653;65
qd4.sparql;939;1126;889;46
dsv1.sparql;23;74;4;4
dsv2.sparql;45;122;8;5
dsv4.sparql;3645;4116;3227;3
dsv3.sparql;12;40;3;6
qd1.sparql;28;57;18;38
qd2.sparql;503;1320;410;39
qd6.sparql;1034;1406;1012;47
qd5.sparql;444;656;374;54
dsv5.sparql;3774;4092;3586;6
dsv6.sparql;586;641;531;2
dp1.sparql;11;243;3;39
dp2.sparql;11;75;7;47
dp4.sparql;15;92;9;46
