query_name;avg_time;max_time;min_time;total_no
duc7.sparql;713;1238;586;116
duc6.sparql;129;714;88;134
vd7.sparql;1018;1088;948;2
vf2b.sparql;2680;3440;2107;4
vd6.sparql;64;82;44;4
dsv5b.sparql;7353;8712;5994;2
dv1.sparql;12;34;4;4
sd1.sparql;45;117;8;3
duc1.sparql;9;220;4;130
vd3.sparql;264;264;264;1
vd1.sparql;30;65;11;4
vd5.sparql;682;823;600;7
vd2.sparql;693;989;630;6
vf2.sparql;4900;8255;3871;7
vf3.sparql;3880;3880;3880;1
duc5.sparql;648;4235;507;120
duc4.sparql;209;559;156;106
duc3.sparql;37;914;19;134
duc2.sparql;644;1161;554;134
vf4.sparql;2284;2703;1937;3
sd3.sparql;67;67;67;1
sd2.sparql;26;75;9;5
dp3.sparql;26;97;11;6
dsv2.sparql;71;120;23;2
qd4.sparql;958;995;921;2
dsv1.sparql;19;46;4;3
qd3.sparql;652;661;643;2
dsv3.sparql;45;45;45;1
dsv4.sparql;3546;3546;3546;1
qd1.sparql;43;60;21;4
qd2.sparql;633;845;433;4
qd6.sparql;1021;1029;1017;3
qd5.sparql;481;605;387;3
dsv5.sparql;3421;3623;3242;4
dsv6.sparql;656;697;616;2
dp1.sparql;78;152;5;2
dp4.sparql;33;109;14;6
dp2.sparql;37;63;12;2
