query_name;avg_time;max_time;min_time;total_no
duc7.sparql;686;1254;578;14
duc6.sparql;153;267;105;9
vd7.sparql;997;1103;881;8
vf2b.sparql;2936;4560;2193;17
vd6.sparql;38;113;20;10
dsv5b.sparql;6199;8859;5304;76
vf3b.sparql;1951;2276;1599;11
dv1.sparql;14;425;3;70
sd1.sparql;39;385;7;14
duc1.sparql;12;92;5;16
vd3.sparql;138;1323;26;13
vd1.sparql;22;165;8;16
vd5.sparql;743;970;586;12
vd2.sparql;860;1360;662;20
vf2.sparql;5506;8756;4145;12
vf3.sparql;4100;4665;3904;14
duc3.sparql;37;89;21;17
duc2.sparql;737;1197;553;16
duc4.sparql;213;326;159;15
duc5.sparql;711;1278;513;9
sd3.sparql;21;76;10;11
vf4.sparql;2070;2773;1834;13
sd2.sparql;14;35;8;12
dp3.sparql;22;99;9;11
dsv1.sparql;9;196;3;65
dsv2.sparql;39;1478;7;70
qd3.sparql;864;1731;676;16
qd4.sparql;985;1181;898;13
dsv3.sparql;9;192;3;60
dsv4.sparql;3062;5393;2573;68
qd1.sparql;39;90;21;17
qd5.sparql;538;723;385;11
qd2.sparql;570;1014;441;17
qd6.sparql;1020;1033;1015;15
dsv5.sparql;3421;5164;2941;73
dsv6.sparql;630;3950;455;79
dp1.sparql;5;8;4;8
dp4.sparql;25;79;11;8
dp2.sparql;16;54;8;19
