duc7.sparql;644;594;
duc6.sparql;220;136;268;179;
vd7.sparql;935;1025;870;969;916;849;929;
vf2b.sparql;2679;2634;3567;3683;2802;
vd6.sparql;106;127;65;68;52;
dsv5b.sparql;9576;5444;7052;7281;6989;7258;5587;5338;6672;5954;5458;5504;8650;6356;5932;5621;5738;9207;5399;5622;5570;7126;6286;5555;5584;7717;6215;6329;5603;6820;5377;5509;5556;6363;5805;5651;7108;5849;7897;5586;6226;5613;5718;5805;5539;5960;7321;7899;5686;5856;5708;7143;8126;5756;5722;7357;5833;5747;5695;5887;5585;5923;8200;5740;6558;5661;7951;5798;7522;5681;5886;5606;5778;5660;5960;5560;6263;7990;5576;8229;5726;7100;7305;5964;5701;5617;7899;8031;5543;5899;6111;5806;5676;5868;6347;6158;6914;5680;
vf3b.sparql;2130;1863;
dv1.sparql;58;20;29;11;10;10;12;8;9;7;10;7;17;9;5;7;8;5;13;10;6;5;10;9;5;6;7;7;5;7;13;6;7;7;8;4;7;5;4;5;6;6;6;5;8;5;6;6;6;5;5;5;8;6;7;6;5;6;10;6;6;4;5;6;6;8;4;5;6;4;5;5;3;5;4;4;6;4;5;5;6;4;6;8;4;4;15;4;
sd1.sparql;24;18;22;12;12;11;7;8;
duc1.sparql;91;11;8;7;9;6;7;
vd2.sparql;1279;1058;863;682;943;945;650;
vd5.sparql;1133;686;1034;650;889;756;673;
vd1.sparql;50;15;11;23;12;16;
vd3.sparql;107;52;
vf2.sparql;6957;4675;5294;4200;5295;
vf3.sparql;4106;4324;3977;4551;4546;
duc4.sparql;422;345;168;
duc2.sparql;587;607;578;551;636;554;
duc3.sparql;65;26;34;37;
duc5.sparql;1181;704;523;508;967;
sd3.sparql;132;37;26;13;12;19;12;
vf4.sparql;2387;2005;1880;1840;1846;
sd2.sparql;123;10;9;9;
dp3.sparql;39;17;15;
qd4.sparql;1609;950;962;1018;1018;1030;1016;1022;
dsv2.sparql;542;32;13;30;15;16;41;13;15;12;12;10;12;41;13;42;27;30;17;16;13;12;12;16;73;49;37;12;30;14;13;19;9;16;14;60;12;11;29;13;12;23;11;12;16;41;12;12;12;10;40;12;9;12;28;12;13;14;41;11;11;8;14;8;15;12;10;10;9;40;11;11;8;8;26;14;26;9;15;11;11;25;11;10;12;51;10;8;36;14;8;24;9;37;250;31;15;15;23;9;38;
dsv1.sparql;37;6;14;10;12;13;13;6;12;15;12;6;9;6;6;9;6;9;5;9;6;11;7;7;5;10;10;22;15;9;9;5;4;5;10;4;6;5;4;7;5;5;6;5;8;14;14;5;5;7;6;4;5;6;5;5;6;5;6;6;5;5;33;4;5;4;6;5;4;6;6;4;4;4;4;4;3;4;4;5;12;3;6;8;5;6;202;5;4;3;6;
qd3.sparql;736;1013;
dsv4.sparql;17783;3289;2581;3701;2635;2519;2527;2532;3044;3359;2536;2526;2517;3612;2901;2558;2526;2579;2827;2678;3021;3604;2998;2710;5538;2942;2683;2666;2635;3391;2771;2760;2651;4488;3618;2702;2651;2661;3140;3192;2755;3037;2779;4495;4973;2772;4423;2734;3486;3145;2713;2726;2996;3218;2747;3832;2918;2713;2725;3353;4474;2737;2710;3132;2716;4640;2766;3272;3004;2768;4588;2758;2696;2867;2971;3053;3074;3120;4917;2720;4187;3339;3270;2774;2969;2737;2714;2758;2712;2726;3141;
dsv3.sparql;75;8;35;24;17;12;9;10;10;7;8;8;7;7;8;14;12;6;21;11;7;7;8;5;4;5;5;7;5;4;4;5;8;8;7;4;5;8;6;6;4;4;5;5;6;6;25;4;4;6;4;5;9;10;5;5;5;5;7;4;5;4;6;11;5;7;6;5;6;5;8;6;4;3;8;4;4;5;4;4;3;4;3;7;4;4;6;3;4;4;5;17;5;5;5;4;4;4;6;3;4;3;4;28;
qd1.sparql;1216;37;56;50;26;37;22;
qd2.sparql;747;574;
qd6.sparql;1078;1023;1022;1023;1035;1019;
qd5.sparql;824;779;425;483;422;
dsv5.sparql;11886;5315;4764;3328;3062;3480;4670;3274;3322;3211;3470;3969;3164;3167;3226;4019;3203;3227;3213;4053;4512;3198;3471;3236;4846;3182;3291;3146;4784;3300;4792;3265;3250;3401;3401;3753;3992;3337;3968;3335;3302;3494;3310;3261;3292;4594;3794;3349;3366;3389;3404;4077;3335;5682;3500;3584;3397;3511;3417;4970;3580;3612;3736;3400;3389;3382;4882;3404;3649;3273;3442;4961;3412;3608;3302;3355;3963;5659;3530;3546;5400;3635;3277;3635;3880;4002;3557;3319;4896;3406;3429;4969;5066;3349;3391;3319;3440;3866;3591;3487;3355;3477;3404;5773;
dsv6.sparql;1758;561;791;876;806;903;496;499;518;488;482;525;881;891;500;822;719;485;523;474;639;495;520;497;528;518;493;595;515;1080;498;867;583;552;861;695;496;584;492;857;491;629;544;746;672;500;494;498;521;688;499;834;498;505;863;504;570;865;549;513;492;586;602;866;503;567;500;507;502;497;496;864;496;1286;582;910;863;492;500;514;500;899;499;494;516;863;509;514;539;568;864;663;502;782;522;858;513;538;753;488;521;492;510;594;763;495;
dp1.sparql;48;9;8;7;4;7;21;5;5;6;
dp2.sparql;24;
dp4.sparql;53;15;17;
