query_name;avg_time;max_time;min_time;total_no
duc7.sparql;647;1108;522;9
duc6.sparql;113;146;87;10
vd7.sparql;895;1135;819;50
vf2b.sparql;2610;4186;2198;17
vd6.sparql;34;218;18;33
vf3b.sparql;1795;2233;1556;16
dsv5b.sparql;6598;8257;5434;11
sd1.sparql;13;55;7;30
dv1.sparql;9;35;3;13
duc1.sparql;43;389;5;12
vd3.sparql;41;243;25;39
vd5.sparql;675;1077;566;38
vd1.sparql;11;66;7;47
vd2.sparql;761;1025;628;40
vf2.sparql;4582;5853;4012;12
vf3.sparql;4664;9307;3893;11
duc4.sparql;381;2976;150;13
duc2.sparql;631;1221;496;17
duc5.sparql;681;1667;487;14
duc3.sparql;30;89;20;18
sd3.sparql;16;158;8;43
vf4.sparql;2013;4044;1788;13
sd2.sparql;18;108;7;43
dp3.sparql;13;46;8;29
dsv2.sparql;23;102;8;13
dsv1.sparql;8;52;3;16
qd3.sparql;769;1209;641;41
qd4.sparql;900;1044;860;25
dsv4.sparql;3709;8289;2703;10
dsv3.sparql;8;59;4;15
qd1.sparql;34;129;19;44
qd2.sparql;517;1321;397;31
qd5.sparql;446;650;376;40
qd6.sparql;1021;1110;1012;26
dsv5.sparql;3309;3825;3104;13
dsv6.sparql;560;807;486;13
dp1.sparql;7;103;3;43
dp2.sparql;13;62;7;33
dp4.sparql;17;94;9;34
