duc7.sparql;1581;585;604;584;582;919;595
duc6.sparql;265;98;137;101;98;121;94;99;91;139;103
vd7.sparql;903;859;864;882;870;848;866;847;1020;861;1028;1019
vf2b.sparql;7768;2467;2417;2386;3588;2369;2202;2354;2302;2199
vd6.sparql;226;38;32;51;31;24;33;30;21;19
vf3b.sparql;2947;1625;1991;1637;1811;1840;2353
dv1.sparql;358;47;11;34;9;11;8;8;9;12;9;10;10;8;9;5;7;7;9;7;12;27;7;6;6;6;5;6;6;7;6;5;7;6;5;5;5;6;6;8;5;6;6;5;4;5;4;5;5;5;5;5;5;4;6;4;4;5;5;5;5;11;6;4;4;4;5;5;4;5;5;4;5;7;6;4;4;4;5;4;6;5;6;4;7;4;4;19;5;5;4;4;4;8;4;4;4;10;3;4;6;4;4;4;4;4;4;3;5;3;4;4;3
sd1.sparql;48;43;12;13;11;8;12
duc1.sparql;116;14;11;8;9;7;9;8;6;7;5
vd5.sparql;856;595;593;622;657;577;615;931;598;580
vd2.sparql;1056;1036;698;657;640;642;635;632;622;636;649
vd1.sparql;42;33;12;12;10;10;21;17;17;11;10
vd3.sparql;199;40;36;44;91;38
vf2.sparql;5409;4906;4260;7238
vf3.sparql;4194;4234;5768;5140;3865
duc3.sparql;73;42;33;28;32;28;25;31;31;22;24;28
duc2.sparql;614;560;559;555;586;594;559;1136;557
duc4.sparql;215;188;177;184;192;188;175;287;165;160
duc5.sparql;1080;959;514;522;520;525;517;533;954;534;515;548;519
sd3.sparql;139;26;23;14;12;14;10;12;9;16;12
vf4.sparql;4776;1838;1818;1835;2191;1834;2197;1832;1875;1805;1823;1810
sd2.sparql;21;9;14
dp3.sparql;88;35;21;20;14;11;28;30;14;23
dsv1.sparql;198;20;10;14;7;16;20;11;14;12;6;7;6;8;6;5;7;12;5;7;15;17;6;7;7;10;5;4;5;5;5;16;10;5;8;6;5;24;5;9;5;5;7;4;4;5;4;5;9;4;6;4;9;14;5;9;3;4;9;4;5;4;5;5;6;5;4;8;4;4;6;16;4;7;3;4;4;4;3;13;5;4;5;4;4;3;3;16;5;4;4;4;3;6;3;4;4
dsv2.sparql;385;89;31;17;19;17;16;11;23;10;15;12;13;30;17;12;11;24;14;13;15;16;12;18;12;13;11;16;9;17;12;12;9;11;10;13;11;16;12;9;17;10;9;16;8;9;13;8;9;9;39;10;13;8;9;19;13;13;13;8;19;12;21;11;10;12;9;11;9;12;9;10;12;8;8;8;8;11;11;11;11;14;9;10;8;12;11;9;9;12;10;14;25;20;12;8;12;8;8;9;9;8;10;8;9;13;8;12;12;10;10;9;8;12
qd4.sparql;1209;1034;1055;901;1019;950;903;899;923
qd3.sparql;708;879;776;914;666;710;717;1014;691;656;663
dsv4.sparql;7085;3517;2725;2852;3055;4553;2631;2627;2638;2612;2595;2617;2618;2759;4058;2653;2569;2612;2533;2531;2531;2517;2517;3435;3975;2640;2549;2533;2602;4421;4439;2551;2560;3936;2557;4020;2541;2627;3486;2557;2570;4434;2658;2557;2563;2538;2725;2561;2549;2550;2543;2522;2555;2549;2558;2995;2556;2501;2529;2503;2494;2489;2514;2496;2503;2597;4393;2583;2595;2595;2483;2486;2480;2479;2511;2500;3689;2498;2518;3176;3030;2483;2565;2472;3017;2484;4392;2484;2499;2956;2557;2485;2499;2480;2482;3128;2478;2462;4343;4134;2530;2472;2472;2482;2462;2565;2482;2462;2486;4368;2482;2480
dsv3.sparql;53;17;11;12;8;9;10;7;7;9;7;10;5;7;8;6;8;8;5;5;5;6;29;14;7;8;6;6;6;7;5;6;6;5;9;4;5;5;6;9;4;4;4;4;4;9;6;10;4;5;6;5;6;6;4;4;7;12;6;4;10;6;6;3;6;4;4;29;5;5;5;4;5;4;4;4;11;5;5;4;4;4;4;10;4;4;4;4;5;4;4;5;4;4;4;4;9;4;4;5;4;3;4;4;4;4;4;4;3;4;7;3;4;3
qd1.sparql;28;28;33;23;25;42;33;55;25;24;25;21
qd5.sparql;1553;509;430;388;400;631;390;394;419;470
qd6.sparql;1160;1050;1021;1021;1014;1015;1016;1023;1013;1016;1016
qd2.sparql;705;443;515;425;424;693;437
dsv6.sparql;3853;1158;643;1047;470;543;554;541;495;477;479;490;474;481;515;484;510;542;474;860;875;470;479;473;476;467;540;464;464;494;842;861;836;497;874;487;456;466;465;484;474;463;470;459;463;493;833;461;506;466;475;477;481;460;495;473;857;496;470;493;463;462;469;464;455;456;462;463;938;452;840;465;837;462;455;459;458;510;463;838;815;840;467;455;480;833;854;470;494;839;862;471;568;487;466;661;458;835;486;461;464;476;480;473;465;470;492;472;492;465;718;464;489;478;505;468;461;459;466;459;462;476;488;460;470;469;725;467;469;487;494;486;464;465;469
dp1.sparql;30;5;4;6;4;5;3;4;5;4;4;4;4;3
dp2.sparql;14;18;14;13;10;10;14
dp4.sparql;58;20;15;11;11;12;9
