duc7.sparql;1109;1310;665
duc6.sparql;238;159;99;152;103;116
vd7.sparql;1041;1021;877;1015;863
vf2b.sparql;2451;3595;3852;2220;2189;2166;2176;2829;2504;2250;3780;2507;2296;2196;2279;2145;4782;2471;3568;2264;2232;2283;2124;2336;3353;2267;2283;2870;2242;2313;2102;2281;3459;2406;2154;2286;2571;3494;3559;3298;3507;2164;2335;2121;2224;2143;2622;2116;2043;3059;2394;3388;2216;2353;3352;2053;2137;2106;2062;2228;3781;2185;2266;2122;2289;2233;2263;2049;2379;2238;2281;2206;2267;2314;2052;2045;2152;2047;2333;2259;2230;2258;3491;2206;2219;2051;2135;2052;2067;2651;2092;2116;2229;2054;2691;2160;3329;2212;2167;2046;2209;2224;2138;2179;2115;2247;3423;2226;2409;2182;2255;2218;2072;2088;2237;2073;2304;4193;2299;2113;2380;2089;2119;2238;2164;2070;2248;2297;2279;2041;2243;4770;3031;2259;2207;2075;3520;2199;2070;2166;3034;2733;2928;2166;2369;2149;3489;2057;2208;2533;2099;2091;2297;2084;2108;2133;3494;3326;3575;2305;2094;2222;2249;2124;2150;2622;2130;2062;4158;2359;2200;2271;2135;2048;2268;3318;2280;2085;2169
vd6.sparql;57;31;22;22
vf3b.sparql;2099;1724;1919;2086;1701;2451;1895;1742;2412;1813;2067;1608;1602;1669;2408;2107;2075;1614;2106;2003;1594;2097;2075;1797;1591;1600;1599;1967;1586;1811;1991;1616;1865;1593;1563;2540;1577;2075;1571;2073;1939;1958;1620;1606;1584;1581;1561;1619;1965;1572;1778;1604;1605;2339;1682;1665;1971;1598;2084;1751;1592;1579;1583;2051;1625;1600;2140;1673;1622;2242;1600;1565;1895;2199;2362;1715;1590;1599;1570;1595;1594;1578;2463;2032;1580;1546;1984;1605;1590;1573;1685;1564;2081;1618;1908;1787;1560;1570;1876;1582;1687;1583;1574;1862;1688;1560;2074;1578;1929;1790;1561;1578;2072;1592;2098;1635;1586;1605;1691;1585;1569;1871;1637;1665;1909;1554;2077;1562;2086;1554;1633;2082;2153;1594;1587;1584;2587;1946;1588;1591;1936;1982;1593;1621;1696;1611;1609;1598;1592;2079;1610;1964;1562;2400;1577;1896;2093;1551;1587;1557;1587;1898;1581;1590;1584;1949;1592
sd1.sparql;18;18;9
dv1.sparql;27
duc1.sparql;112;8
vd3.sparql;119;39;32;29
vd1.sparql;40;12;8;10;11
vd2.sparql;705
vd5.sparql;644;616
vf2.sparql;9297;4809;4181;4595;5571;5638;3837;4111;4143;5384;4934;3900;4110;3932;4094;3940;5201;4070;3922;3826;6198;5553;3879;3816;3994;3944;5693;4073;3905;3826;5788;4076;3968;3887;5199;4300;3874;4077;3948;5848;3986;3773;3846;5679;5551;3731;3746;3775;4020;3763;3879;4036;5409;4382;4093;3767;4246;4034;3948;3918;3967;7394;5651;4038;4050;5897;3937;4035;5180;5667;4210;5552;4103;5437;3716;4047;5737;3897;3958;5204;6006;3761;3985;5607;3741;3785;3769;5934;3805;3639;4030;3852;3788;5308;6247;3938;5372;4361;3821;3964;5320;3919;3903;3851;5403;3823;4013;3850;3665;7473;4045;3990;4294;4482;4059;4001;4030;3937;5573;4257;4071;5795;3896;3947;3995;5964;3892;3982;3872;4065;3762;3957;3778;5113;3824;4042;3734;4346;5151;3987;4917;3936;4781;4557;3790;3901;3812;3792;3906;3775;5331;5479;3947;3765;3863;3664;3690;3937;5330;6150;3790;3811;4040
vf3.sparql;9413;3834;3816;3813;3842;3946;3808;3785;6456;3792;3779;3784;3786;3827;3770;3809;3795;5457;4269;5489;3761;3761;5663;3729;3737;3725;5464;3745;3721;3719;4084;3841;3713;3729;4125;5703;3792;3718;3710;3832;3724;3872;3703;3836;3704;3718;4108;5464;3732;3689;3699;5484;3713;5501;3711;3723;3874;5474;4284;3712;3705;3689;3721;3704;3716;3715;3866;3707;3701;3866;3698;3698;6145;5460;3714;3718;3703;3717;4185;3712;5467;3696;3703;3728;3721;3700;3778;5040;3713;3690;3707;3702;5540;4548;5875;3698;5480;3703;3731;4058;3882;5502;3717;3703;3710;5479;3810;3720;5480;3731;3779;3721;3692;3742;4198;3690;3715;3682;3708;3722;3723;3710;3700;3725;3806;3716;3702;3687;3707;3703;5117;5471;4152;3721;3700;5498;4299;3683;5479;4918;4833;3693;4874;3736;3690;3706;3701;3703;4108;3714;3691;3716;3704;6192;3713;3702;5496;3720;3709;5715;3706;3711;3704;3719;4147;3718;3699;3733;3720;4347;3698;4110;3712;3704;3734;3713;3822;3709;3702;3691;3700;3817;3700;3738;3702;3722;3708;3700;4210;3724;3709;5503;3703;3717
duc5.sparql;1293;553;1011;552
duc3.sparql;57;22
duc2.sparql;664
duc4.sparql;218;175;175
vf4.sparql;6386;2794;1935;1839;1898;1940;2196;1848;1844;1921;1978;1842;1844;2062;1841;1839;1842;2196;1858;2252;1812;1840;1847;2063;1844;1843;1836;1833;2069;1826;2187;1830;1831;1810;1843;2074;2254;1824;1883;1837;1931;1806;1934;2415;1836;2184;1825;1804;1811;1931;1833;1833;1933;1813;1817;2249;1818;1822;1823;1810;2234;1899;1825;1830;1840;1824;1826;1850;1822;1810;1827;1838;1834;1896;1827;1837;1838;1885;1826;1828;1889;1819;2182;1824;2183;1884;1825;1825;1827;1806;1830;1810;1828;1947;1899;1825;1823;1831;1932;1827;1825;1833;1963;2051;1831;1820;1826;1941;1833;2048;1835;1897;1829;1827;1881;1827;1830;1819;1844;2245;1829;1825;1835;1865;2184;1820;1822;2246;2183;1808;1930;2245;2154;1812;1834;1937;2184;1828;1879;1959;1811;2245;1890;1836;1812;1881;2186;1810;1805;1944;2204;1886;1821;1806;1828;2182;1922;1824;1824;1812;1939;1960;1934;1909;2187;1888;1815;1819;1822;1824;1830;1881;1808;1830;1938
sd2.sparql;123;47;14;12
dp3.sparql;56;12;15;9;10
dsv2.sparql;432
dsv1.sparql;74;4;6;4
qd3.sparql;722
qd4.sparql;966;1016
dsv3.sparql;64;6;5
dsv4.sparql;5010;2808;2855;2821;2733
qd1.sparql;32;32;22;28
qd5.sparql;1289;613;404
qd6.sparql;1029;1026;1018;1019;1016;1018
dsv6.sparql;683
dp1.sparql;21;4
dp2.sparql;11;7
dp4.sparql;50;18;12;14;23;20;10;10
