duc7.sparql;630;530;588;899;525
duc6.sparql;412;107;106;107;107;121;98;94;104;101;113;110;146;96;266;90;118;97
vd7.sparql;1122;1034;971;1027;941;1001;886;873;886;1023;1019;846;867;872;856;871;846;889;861;862;886;1018;884;867;856;943;1020;898;1024;957;1018;926;890;867;859;882;848;842;851;888;869;865;864;866
vf2b.sparql;9354;2386;2364;2454;3830;2686;2240;2230;2363;2984;4806;3682;2210;2339;2368;3090;2594;2270;2452;2570;2204;2255;2199;2204
vd6.sparql;359;91;99;73;42;46;49;48;47;37;49;41;51;36;48;39;35;38;48
vf3b.sparql;1813;2211;1609;1701;1611;1641;2238;1549;1559;1554;1613;1649;1872;1566;1581;1607;1581;1725;2008;2173;2086;1578;1901;1920;1577
sd1.sparql;132;17;11;12;8;16;13;30;11;9;12;11;11;12;8;8;10;10;10;8;9;9;9;11;7;8;7;9
dv1.sparql;48;11;10;9;9;8;9;9;5;5;7;5;5;6;5;4;5;5;4;5;7;4;4;4;4;5;4;4
duc1.sparql;146;15;11;9;8;10;8;7;5;19;6;8;5;7;7;5;6;7;6;5;5
vd1.sparql;64;19;15;14;16;14;12;11;8;15;9;9;12;10;12;10;12;11;8;15;7;11;8;8;10;7;8;7;7
vd2.sparql;1080;849;656;649;705;656;644;1008;675;648;682;672;643;642;660;646;661;648;807;845;639;646;647;641
vd5.sparql;1120;608;636;694;641;1018;620;617;609;965;606;598;621;605;623;900;602;802;609;613;596;609;617;982;998;630;603;959;601;781;621;608;598
vd3.sparql;197;51;77;73;40;38;35;30;37;43;32;44;28;35;27;41;42;31;42;97;29;36;31;39;27;43;40;38;29;26;59;27
vf2.sparql;4105;4441;4165;5807;4178;4130;5996;4132;4332;5690;4651;4190;5844;4245;6280;4090;5290;5446;3864;5358;6488;4092
vf3.sparql;9437;3943;3801;3798;3899;3807;3797;4054;4417;4371;4412;3791;3919;6296;3821;4046
duc4.sparql;3067;175;196;168;284;285;220;163;163;159;167;176;159;162;307;156;171;159;165;286
duc5.sparql;1691;1009;643;921;500;538;571;578;508;495;521;563;508;939;510;493;504;581;933;515;512;541;502;570;918;511;508;508
duc2.sparql;578;519;517;505;627;1095;503;503;1075;1082;1076;496;540;502;498;579;504;739;496;499;828;518
duc3.sparql;68;36;37;30;25;35;22;34;25;21;42;21;31;19;22;20;19;22;31;20;30
sd3.sparql;168;76;35;20;17;15;18;13;24;18;21;12;12;10;10;10;14;13;9;12;9;10;41;17;44;11;8;11;11;8;11;12;8
vf4.sparql;4037;1970;2085;1852;1827;1836;1896;1832;1974;1878;1893;1819;1845;1842;1886;1827;1837
sd2.sparql;50;55;24;13;15;11;15;15;9;13;9;11;12;15;10;8;9;9;12;13;44;8;10;7;14;9;8;9;20;7;11;8;10;8
dp3.sparql;58;18;30;21;24;18;12;14;13;42;14;15;16;13;18;11;9;13;10;14;9;16;14;10;13;10;15;12;9;10;11;9;10;8;10;8;9;8
qd4.sparql;1165;1011;999;965;1020;971;945;937;926;920;912;922;905;911;1007;918;892;1043;1015;911;1012;922;921;964;946;958;1001;944;1019;939;1015;904;927;914;917;1014;972;910;911;906;974;904;1014;917
dsv1.sparql;58;157;8;8;12;5;11;7;8;5;4;3;6;3;7;4;4;5;5;4
qd3.sparql;753;726;656;1019;661;674;648;852;666;653;650;660;651;659;1014;1016;674;677;670;669;669
dsv2.sparql;109;14;17;11;15;9;11;8;9;12;13;8;12;20;9;8;14;10;18
dsv4.sparql;3248;2972;2658;2654;2752;2630;3003;2567;2601;2576;2575;2743;2582;3137;2791;2928;2717;4369;3170;2908;2981;2703;3425;2596;2603
dsv3.sparql;52;6;5;7;4;4;5;4;4;4;4;20;5;5;5;4;4
qd1.sparql;155;38;55;55;65;62;61;61;32;29;32;24;26;22;66;22;21;29;29;26;29;20;27;32;25;29;31;19;19;36;21;27;22;26;19;19
qd6.sparql;1223;1029;1023;1017;1037;1021;1017;1015;1017;1015;1014;1017;1014;1016;1027;1015;1016;1018;1019;1013;1015;1015;1012;1012;1018;1018;1013;1021;1017;1023;1015;1013;1013;1015;1015;1015;1012
qd5.sparql;833;679;453;400;464;390;397;418;386;391;385;408;407;492;400;611;382;633;401;435;417;546;404;401;385;408;542;395;393;498;388;619;397
qd2.sparql;470;683;462;459;559;432;442;494;487;680;435;472;573;446;415;592;448;440;474;468;471;450;524;514;440;445;454;447;443;445;451;441
dsv6.sparql;955;588;491;485;483;478;489;491;484;864;526;545;493;509;473;478;488;755;496;483;493;481
dp1.sparql;73;33;13;8;5;5;5;5;5;4;4;5;8;4;4;4;4;5;5;4;3;8;3;4;3;3;3;4;3
dp2.sparql;24;27;22;15;17;12;20;14;13;18;10;17;10;9;9;8;10;13;13;10;7;9;10;13;8;8;10;8;10;8;9;8;7;7
dp4.sparql;59;26;21;15;19;11;17;16;12;17;22;14;13;16;16;13;18;9;11;16;12;10;10;13;12
