duc6.cy;8510;56;56;72;52
duc4.cy;2446;156;84;74;74;77
duc2.cy;3767;50;41;42;50
vd5.cy;198;4;4;4;7;4;5
qd3.cy;387;34;20;17;21;17;20;14
vd3.cy;143;5;5;9;7;4
vd7.cy;1259;8;8;7;8;6
qd1.cy;70;5;3
qd5.cy;109;5;5;5
vf3.cy;1429;13;6;8;6;6;7;6;7;5;5;6;7;7;7;7;5;6;9;7;8;7;7;7;9;7;7;7;10;7;7;8;15;7;7;5;15;7;6;6;6;6;5;6;6;7;6;5;5;5;5;5;5;7;6;6;6;5;5;5;6;7;5;5;6;17;6;5;6;5;6;4;7;7;6;6;5;4;5;5;5;8;5;7;4;5;5;4;4;13;4;6;5;7;6;9;4;5;5;5;6;4;5;4;5;7;5;5;5;25;6;5;5;4;4;4;4;7;4;6;5;15;8;6;4;4;5;5;4;6;5;4;4;8;5;4;5;5;6;4;5;6;7;6;4;4;4;6;5;5;4;6;4;5;5;5;5;5;5;4;5;6;6
vd2.cy;100;8;9;8;8;10;10
sd2.cy;904;90;85;53;45;48;50
dsv1.cy;623;183;134;100;90;86
dp2.cy;42;4;3;4;4
dsv3.cy;28;3;4;6;4;3;4
dp4.cy;56;6;4
duc7.cy;49;34;26;28;24;26;45;30;32;27;39
vf2b.cy;52;13;11;9;7;5;6;6;7;7;7;11;6;6;6;4;6;5;5;17;7;6;6;7;5;5;6;4;5;10;8;6;4;4;4;5;5;5;7;4;6;4;7;9;5;6;5;4;4;4;5;4;6;4;6;4;11;5;5;4;4;4;4;6;5;4;4;5;3;4;4;4;4;3;3;4;5;4;3;3;4;5;5;3;5;4;4;4;4;4;4;4;4;4;6;3;5;3;5;3;3;4;5;3;4;3;4;3;4;3;5;5;5;5;3;3;5;5;4;5;3;4;4;4;4;4;4;3;3;4;4;4;7;5;4;4;5;5;4;4;4;5;3;4;4;4;4;3;5;5;6;3;4
dv1.cy;25;8;5;5;4;6
duc3.cy;168;76;75;76
duc5.cy;658;100;90;93;93;88
duc1.cy;9;5;3;5;5;3;3
qd2.cy;116;24;3;4;4;4;4;4
vd6.cy;388;48;52;40;43;40;41
vf3b.cy;19;11;11;6;6;5;5;7;11;7;6;6;7;7;6;7;9;6;7;6;7;7;6;6;6;5;14;5;62;6;5;10;5;4;4;6;5;5;4;6;5;7;6;5;4;4;4;4;4;4;4;6;5;4;7;13;5;3;6;7;4;5;5;3;4;4;5;3;3;5;5;4;5;5;6;5;4;5;3;5;4;3;9;4;3;4;4;4;4;4;3;4;5;4;3;3;4;6;3;5;4;4;4;4;4;5;14;4;6;4;4;5;5;3;4;5;5;5;5;4;4;4;4;4;3;3;3;3;3;4;5;5;3;3;5;4;5;4;3;4;3;3;5;5;4;7;4;5;5;4;4;5;4;3
qd4.cy;212;5;6;5;5;4;3;5
qd6.cy;318;4;4;5
vf4.cy;555;6;8;6;8;8;8;8;7;5;5;6;6;7;6;5;6;6;6;6;7;6;5;7;9;11;13;6;6;5;7;6;5;7;7;7;6;6;6;7;7;5;5;6;7;7;5;5;5;5;5;5;9;6;6;4;5;5;5;5;6;5;5;5;5;4;6;6;6;6;6;5;5;5;6;5;4;6;9;6;6;5;5;5;6;5;6;6;4;5;4;5;4;4;6;4;4;5;4;5;6;5;4;5;4;6;7;6;4;5;6;4;6;5;4;5;5;4;5;6;5;5;6;7;4;4;5;5;6;4;5;4;4;6;5;5;6;4;4;4;5;5;4;4;4;5;5;5;4;5;6;4;5;5;5
dsv6.cy;47943;11724;12381;11581;16339;16153;11794;16188
sd1.cy;106;86;56;64;69
vf2.cy;47758;323;118;104;77;104;73;73;74;105;84;100;117;98;177;109;129;102;116;132;129;112;114;119;111;107;117;142;127;114;124;97;97;88;88;95;91;88;98;96;88;88;87;78;81;78;79;81;86;92;86;76;73;86;93;77;87;70;85;69;96;101;74;86;72;85;117;71;76;80;73;76;86;71;72;100;79;79;98;104;99;79;90;79;82;87;82;92;90;72;80;86;71;80;71;84;77;98;82;72;84;82;73;79;79;77;78;79;74;78;76;78;83;79;75;72;74;78;120;79;80;82;77;80;84;81;97;75;78;87;73;72;78;79;83;73;97;82;81;76;74;85;81;71;71;80;78;85;77;77;77;82;81;70;76;81;71;74;76;76
sd3.cy;24014;70;61;78;74;61;66;61
dsv4.cy;23030;7192
vd1.cy;34;9;7;4
dp1.cy;26;4;3;4;6
dp3.cy;459;6;4;5;3;4;3
dsv2.cy;1347;316;352;223;214
