duc6.cy;2622;61;72;71;50;54
duc4.cy;122;101;74;102;123;84;100;74;74;78;78
duc2.cy;18415;75;38;37;37;35;46;40;39;30;33
qd3.cy;291;29;19;28;25;19;14;16;16
vd5.cy;157;4;4;4;3;4;3;5
vd3.cy;134;4;5;4;4;3;4;5;3;4;5;4;4
vd7.cy;656;7;12;15;6;9;8;5
qd1.cy;79;4;4;4;4;8;3;3;4;4;4
qd5.cy;112;5;5;7;6;9;6;8;5;6;5;4;7;4
vf3.cy;2387;29;8;7;8;7;7;9;8;8;6;11;6;7;7;8;6;6;7;6;7;6;8;4;5;6;6;6;5;6;7;6;6;4;5;5;4;5;5;6;6;7;7;6;7;5;5;6;7;7;6;5;6;4;4;6;9;7;6;6;5;9;5;5;4;5;4;6;6;8;7;7;7;6;5;5;4;4;5;5;6;7;5;4;5;7;5;5;4;6;10;6;6;4;6;5;4;5;4;4;5;6;5;4;4;5;6;4;5;4;4
vd2.cy;913;44;10;9;11;12;12;11;13;8;7
sd2.cy;167;48;58;67;65;53;51;64;51;60;42
dsv1.cy;672;178;106;130;92;130;152;122;114;90;83;88;92;92;81;95;83
dp2.cy;50;4;4;3;3
dp4.cy;87;4;5;3;4;5;6;4;9;5;5;4;5;5;4
dsv3.cy;19;8;4;4;4;5;5;4;3;4;3;5;3
duc7.cy;145;33;39;37;35;32;38;42;37;27;38;38
vf2b.cy;8;8;5;7;9;4;5;6;6;11;6;6;6;3;4;5;5;5;6;5;8;7;7;4;4;4;5;5;4;4;4;6;5;6;5;6;5;6;4;4;4;10;5;6;4;5;4;6;6;5;5;6;6;6;5;3;4;5;5;4;7;3;4;4;3;5;3;5;14;4;3;4;5;5;4;5;4;4;5;4;6;5;5;6;3;5;3;3;4;3;4;4;3;4;4;5;4;4;4;4;4;4;4;4;3;3
dv1.cy;22;4;4;3;4;4;4;5;5;5;5;5;4;3;5;4;5
duc3.cy;586;88;92;70;70;72;82;76;90;103;70;73;78;76;69
duc5.cy;10734;98;100;109;117;91;132;98;78;87;75;76;75;84
duc1.cy;16;8;8;13;12;6;6;4;5;6;6;6;4;5;5;4;5;3;4;4
qd2.cy;111;8;5;4;5;4;11;4;4;6;4;4;4;5;3;3;4;4;3
vd6.cy;223;104;41;42;55;55;44;51;54;42;40;44;40;59
vf3b.cy;49;25;23;8;10;5;12;5;7;7;6;7;8;5;6;4;8;5;5;5;5;4;6;5;6;5;6;6;4;5;4;5;5;4;4;5;4;5;5;4;5;6;9;4;5;5;8;6;5;6;5;5;5;6;6;6;5;5;5;6;5;4;5;5;6;10;4;5;7;6;6;4;5;6;4;5;5;4;4;4;5;5;4;5;4;5;3;3;4;4;3;4;4;4;5;4;5;3;3;4;3;3;3;3;4;3;3;5;4;5;4;4;4;4
qd4.cy;338;5;5;5;5;4;5;5;4;5;6;3
qd6.cy;344;5;5;5;5;5;5;6;5;5;4
vf4.cy;1111;9;8;7;5;7;6;19;6;7;5;6;5;9;5;6;6;5;5;7;6;13;7;5;5;5;8;5;6;5;4;6;6;6;5;5;6;7;6;6;6;6;6;7;6;6;6;6;7;7;6;5;4;6;6;7;7;6;6;6;5;4;7;6;6;7;5;4;5;6;6;6;4;4;5;4;4;9;6;6;8;4;4;6;6;5;4;4;4;5;6;4;5;6;4;6;5;5;6;5;4;5;4;4;7;6;6;6;6;6;4;5;4;5;7;5;4;4;5;4;5;5;4;5;6;5;5;5
dsv6.cy;47249;4013;4718;4642;9539;9905;10208;11269;4259;4398;17816;16065;11242
sd1.cy;355;72;79;84;74;58;83;83;65;80;76;64;58;53
vf2.cy;49430;251;82;204;153;90;118;115;78;95;106;152;86;84;84;102;108;75;113;78;97;92;102;116;100;118;106;111;104;99;72;91;80;72;93;72;87;80;86;99;88;85;99;76;79;100;87;112;102;95;101;98;95;99;108;108;101;85;100;95;82;81;80;82;116;102;101;107;100;101;104;78;100;99;100;101;98;7385;76;79;81;79;80;79;80;79;78;69;78;77;70;71;97;83;80;72;70;97;95;99;76;72;76;84;76;70;67;69;77;75;75;80;78;80;75;82
dsv4.cy;22087;7285;5923;7248;7361;5422;6670
sd3.cy;94;61;68;62;83;80;63;78;61;64;62;62;56;57;61;59
vd1.cy;47;6;7;10;7;4;4;4
dp1.cy;18;5;5;4;5;4;3;3;5;3;4;3;5;3;4
dp3.cy;69;5;8;7;5;4;4;5;4;3;3;4;3;4;3;4;3;4;4;3
dsv2.cy;1825;235;318;221;225;291;436;214;226;212
