duc6.cy;2603;60;72
duc4.cy;19557;175;70;127;73;75
duc2.cy;6672;73;42;46;45
qd3.cy;573;36;34;31;20;28;17;17;16;13;19;18;19;17;13;14;12;14;12;16;14;14;14;18;12;16;24;12;13;12;12;12;11;13;10;11;9;8;9;15;8
vd5.cy;231;5;6;5;5;6;4;5;5;5;6;5;23;5;5;7;7;4;5;5;4;4;5;5;10;4;5;8;3;5;5;5;3;4;4;4;3;4;3;4;3;4;4;4;4;3;3;6;4;4
vd3.cy;151;8;8;4;5;4;7;5;5;5;5;6;6;5;5;5;4;7;4;4;5;4;4;3;7;5;4;5;5;5;4;5;4;4;5;4;3;5;4;3;4;3;5;3;3;3;4;3;3
vd7.cy;1309;15;16;16;17;12;23;13;12;10;12;10;9;12;10;9;7;8;7;8;18;14;8;10;8;7;6;7;5;7;6;8;6;5;6;8;4;5
qd1.cy;78;6;5;5;5;5;4;5;4;5;5;4;5;4;4;4;3;6;3;5;4;3;4;3;4;3;4;3;3;4;7;4;4;4;8;4;5;10;5;5;4;3;4;4;4;5;3;4;3;3;3;4;6;3;4;4
qd5.cy;137;8;6;6;7;8;15;7;5;5;6;7;11;6;12;6;7;7;5;6;5;5;6;7;9;7;10;6;6;6;6;6;6;7;6;7;6;6;7;8;7;7;5;6;5;7;5;5;6;5;6
vf3.cy;2149;5;8;5;5;6
vd2.cy;3929;32;18;20;11;15;12;15;10;12;11;13;21;22;21;9;10;9;12;8;9;7;12;8;8;7;6;8;6;8;8;20;8;6;6;8;6;7;6;5;9;6;6;7;5;5;4
sd2.cy;2327;74;56;79;73;52;51;67;49;59;75;103;74;52;82;50;57;65;50;44;44;44;60;50;43;62;80;59;63;80;58;84;47;46;53;50;51;49;43;49
dp2.cy;81;6;5;5;4;4;4;6;4;5;4;5;5;6;5;194;4;5;4;4;5;3;3;3;3;7;9;3;3;4;3;4;6;3;3;4;4;5;5;4;5;7;5;3;4;3;3;3;3;3;3
dsv1.cy;363;164;88
dp4.cy;139;6;5;5;13;6;9;4;5;4;5;5;5;6;5;5;4;4;4;4;5;4;5;4;3;4;5;6;5;3;3;3;3;3;4;4;4;4;4;3
dsv3.cy;27;5;4;3;4
duc7.cy;50;23;24;26
vf2b.cy;20;4;3
dv1.cy;17;4;6;4;3
duc3.cy;200;86;79;78;94;77;76
duc5.cy;1095;174;99;106;112;116;116;83;81
duc1.cy;50;16;15;4
qd2.cy;593;6;7;7;8;4;5;4;4;3;5;4;4;3;5;4;4;3;4;5;5;4;3;3;3;5;3;3;4;4;5;4;6;25;4;4;4;3;3;9;3;4;7;6;3;3;3;3;3
vd6.cy;692;57;48;53;56;116;47;42;47;42;51;51;44;41;42;53;45;45;41;47;42;43;47;47;44;39;42;40;45;45;44;42;64;57;54;53;54;57;43;44;65;44;47;41;53
vf3b.cy;5;4
qd4.cy;226;5;4;5;5;4;6;6;5;4;4;4;4;3;5;5;5;4;4;6;5;4;5;4;4;4;4;5;4;3;4;3;3;4;6;4;4;3;4;4;4;4;4
qd6.cy;651;8;10;6;6;7;9;5;5;5;5;6;6;6;7;6;5;4;17;4;5;3;5;4;4;5;5;5;5;5;5;5;5;5;7;5;5;5;5;6;4;5;4;4;4;3;4
vf4.cy;676;7
sd1.cy;625;102;69;66;75;63;63;60;72;75;77;81;82;70;59;50;54;75;52;55;52;55;49;69;78;72;71;72;70;74;67;68;54;72;56;50;54;53;63;55;60;56;48;49
dsv6.cy;46997;11660;9464;11549;11261;12480
vf2.cy;33886;108;74;77;89;101
sd3.cy;3556;75;74;60;76;73;65;81;77;63;61;59;57;64;61;58;74;58;79;81;91;81;80;69;80;78;81;82;78;64;294;87;72;58;64;63;61;68;66;66;65;75;57
dsv4.cy;34006;5836;7722;6880;5596;5938;6848
vd1.cy;145;16;11;15;9;8;10;8;9;7;8;7;6;6;6;6;4;5;4;4;5;4;4;7;7;5;5;10;5;6;6;4;4;5;6;4;4;4;3;4;4;3;4
dp1.cy;33;4;5;4;3;4;3;5;8;5;6;4;4;6;4;3;4;4;3;3;3;4;3;4;3;5;4;7;4;4;4;4;5;4;4;7;4;4;4;4;3;3;3;3;3;3;4;4;4;3;3;3;4;3;4;3;3
dp3.cy;1006;5;6;5;4;4;8;5;7;5;5;5;5;4;5;4;4;5;4;5;4;4;4;8;5;5;4;4;4;6;5;3;6;6;5;4;6;5;4;5;4;4;3;5;16;5;3;3;5;3;4;3;4;4
dsv2.cy;1212;287;302;253
