duc6.cy;2671;59;72;75;71;57;71;54;48
duc4.cy;13731;91;105;88;102;76;84;74;70;73
duc2.cy;120;40;51;56;45;37
vd5.cy;153;5;5;18;3
qd3.cy;248;78;44;20;16
vd3.cy;96;4;5;5;4
vd7.cy;3306;9;11;11;13;9;7;7;7;9
qd1.cy;67;4;3;5;3;4;4;4;4;6;4;3;3;3;3
qd5.cy;1078;7;5;6;7;6;6;6;6;5;5;4;4;5
vf3.cy;7178;7;8;6;8;7;5;5;6;7;5;6;5;7;7;7;6;10;5;8;5;7;8;7;6;7;7;7;7;8;5;4;4;5;5;9;6;7;7;6;30;6;5;6;7;7;8;6;6;14;6;7;6;6;7;4;5;6;7;6;7;6;6;5;4;5;5;5;4;5;5;5;4;4;8;5;6;5;6;5;4;5;4;6;5;4;5;7;5;6;4;5;5;5;5;7;5;5;4;5;5;4;6;4;4;6;5;5;5;5;4;5;4;6;6;4;5;6;4;5;5;4;4;6;4;6;4;4;5;5;4
vd2.cy;124;11;13;8;9;7
sd2.cy;1113;69;64;60;44;54
dp2.cy;58;3;4;5;14;6;4;4;4;4;3;4;3;4
dsv1.cy;646;168;137;120;97;122;104
dp4.cy;65;5;4;4;5;4;4
dsv3.cy;21;3;7;4;7;3;3;5;3;3
duc7.cy;7591;72;40;40;41;45;36;27;33;38;26
vf2b.cy;13;7;9;6;5;5;5;5;5;4;5;4;6;12;5;5;7;5;6;9;5;5;7;5;4;4;6;5;5;6;4;5;5;7;5;4;6;5;6;8;8;7;4;6;5;4;4;4;5;6;5;6;6;9;4;5;6;5;5;5;7;6;6;6;6;6;5;5;9;6;5;7;6;5;8;11;7;6;5;6;4;7;5;3;3;3;4;3;4;4;4;6;4;5;3;3;3;3;3;4;4;5;5;3;4;4;3;3;5;4;4;3;7;3;4;4;5;4;4;5;4;3;11;4;3;8;4;4;4;4
dv1.cy;23;6;6;5;3;3
duc3.cy;193;79;110;92;109;69;94;66;73;79
duc5.cy;460;111;91;85;115;119;118;95;107;82
duc1.cy;12;5;3;4;4;5;5;4;3
qd2.cy;87;4;3;5;4;4;4;4;3
vd6.cy;483;50;38;54;51;65;43
vf3b.cy;47;9;11;8;7;8;5;4;4;5;5;6;6;6;5;7;4;4;4;5;4;4;6;4;5;7;5;6;12;6;5;5;4;4;5;6;4;5;6;4;3;7;10;5;8;6;7;5;6;36;5;5;10;5;8;5;5;6;5;5;5;5;6;6;5;10;5;6;5;4;5;4;3;3;4;12;5;5;5;6;5;4;4;3;4;5;4;4;4;3;4;5;5;4;5;4;4;4;4;8;4;10;3;4;4;5;4;3;5;5;4;3;4;4;4;4;4;4;4;4;3;3;4;4;3;4;3;4;4;3;4;4;4;5;8;5;4;5;4;4;3;4;3;4;4;4;3
qd4.cy;231;4;4;6;12;5;4;4;3
qd6.cy;1227;5;4;4;6;5;5;5;5;5;4;3;4;4;4;4;4
vf4.cy;530;19;9;8;8;9;6;6;5;6;5;6;8;7;4;4;6;7;7;6;6;6;6;5;5;5;6;6;6;6;6;6;7;6;8;6;6;7;7;8;6;5;7;9;7;6;8;6;6;5;5;6;6;7;6;6;6;6;5;7;7;6;9;7;6;7;6;7;6;6;5;6;6;191;28;5;14;8;5;5;5;4;4;6;6;5;6;6;5;5;5;6;4;5;4;4;5;4;5;5;6;5;4;4;5;4;4;5;4;4;4;4;4;4;5;5;5;6;5;5;5;4;5;6;5;5;4;4;5
dsv6.cy;47118;9278;11131;11392;12270;10596;12174;10564;10505;11486
sd1.cy;146;83;64;73;65;59;54;54
vf2.cy;50477;461;235;110;149;83;93;109;161;115;97;72;111;87;100;86;81;91;80;89;128;77;94;110;98;118;75;91;93;110;118;101;107;98;107;117;137;79;81;253;103;170;120;84;77;96;100;105;99;98;97;88;98;110;100;95;105;97;96;97;125;106;100;102;114;99;102;98;98;100;112;100;103;96;84;106;99;130;102;97;102;88;96;92;68;84;74;72;81;85;84;73;76;69;74;74;96;80;70;68;83;95;96;96;78;76;78;97;78;81;76;77;76;79;67;82;77;73;72;69;80;76;76;75;73;77;71;102;71;69;77;75;72;75;88;70;70;79;66;95;102;68;77;77;77;73;77
dsv4.cy;22121;5621;6542;5785;5414;5491;5939;5565;6887;6681
sd3.cy;256;66;70;63;73;62;61;58
vd1.cy;37;5;4;5
dp1.cy;15;5;4;4;8;4;4;3;4
dp3.cy;100;6;6;4;3;4;3;4;3;10;3;3;3;3
dsv2.cy;1844;249;253;287;231;286;293;334;304;214;221
